sport_key,commence_time,home_team,away_team,bookmaker,market_type,selection_name,decimal_odds
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betfair,H2H,Barcelona,1.21
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betfair,H2H,Celta Vigo,25.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betfair,H2H,Draw,7.2
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Unibet (SE),H2H,Barcelona,1.16
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Unibet (SE),H2H,Celta Vigo,19.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Unibet (SE),H2H,Draw,6.75
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,PMU (FR),H2H,Barcelona,1.13
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,PMU (FR),H2H,Celta Vigo,18.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,PMU (FR),H2H,Draw,6.4
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Unibet (NL),H2H,Barcelona,1.16
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Unibet (NL),H2H,Celta Vigo,19.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Unibet (NL),H2H,Draw,6.75
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,LeoVegas (SE),H2H,Barcelona,1.15
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,LeoVegas (SE),H2H,Celta Vigo,18.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,LeoVegas (SE),H2H,Draw,6.5
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Coolbet,H2H,Barcelona,1.16
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Coolbet,H2H,Celta Vigo,25.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Coolbet,H2H,Draw,7.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Matchbook,H2H,Barcelona,1.21
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Matchbook,H2H,Celta Vigo,26.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Matchbook,H2H,Draw,7.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (FR),H2H,Levante,2.4
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (FR),H2H,Sevilla,2.95
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (FR),H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Pinnacle,H2H,Levante,2.48
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Pinnacle,H2H,Sevilla,3.11
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Pinnacle,H2H,Draw,3.24
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,1xBet,H2H,Levante,2.54
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,1xBet,H2H,Sevilla,3.17
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,1xBet,H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Codere (IT),H2H,Levante,2.47
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Codere (IT),H2H,Sevilla,2.95
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Codere (IT),H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,William Hill,H2H,Levante,2.4
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,William Hill,H2H,Sevilla,2.9
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,William Hill,H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (DE),H2H,Levante,2.4
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (DE),H2H,Sevilla,2.95
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (DE),H2H,Draw,3.3
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (FR),H2H,Levante,2.35
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (FR),H2H,Sevilla,2.9
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (FR),H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Tipico,H2H,Levante,2.35
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Tipico,H2H,Sevilla,3.1
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Tipico,H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Marathon Bet,H2H,Levante,2.5
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Marathon Bet,H2H,Sevilla,3.12
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Marathon Bet,H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betclic (FR),H2H,Levante,2.42
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betclic (FR),H2H,Sevilla,2.97
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betclic (FR),H2H,Draw,3.23
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betfair,H2H,Levante,2.56
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betfair,H2H,Sevilla,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betfair,H2H,Draw,3.3
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Nordic Bet,H2H,Levante,2.48
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Nordic Bet,H2H,Sevilla,2.98
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Nordic Bet,H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betsson,H2H,Levante,2.48
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betsson,H2H,Sevilla,2.98
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betsson,H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (SE),H2H,Levante,2.55
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (SE),H2H,Sevilla,2.95
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (SE),H2H,Draw,3.35
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,PMU (FR),H2H,Levante,2.45
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,PMU (FR),H2H,Sevilla,2.8
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,PMU (FR),H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (NL),H2H,Levante,2.55
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (NL),H2H,Sevilla,2.95
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (NL),H2H,Draw,3.35
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,LeoVegas (SE),H2H,Levante,2.48
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,LeoVegas (SE),H2H,Sevilla,2.85
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,LeoVegas (SE),H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,BetOnline.ag,H2H,Levante,2.56
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,BetOnline.ag,H2H,Sevilla,3.03
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,BetOnline.ag,H2H,Draw,3.18
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Coolbet,H2H,Levante,2.5
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Coolbet,H2H,Sevilla,3.15
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Coolbet,H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Matchbook,H2H,Levante,2.56
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Matchbook,H2H,Sevilla,3.2
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Matchbook,H2H,Draw,3.3
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Everygame,H2H,Levante,2.4
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Everygame,H2H,Sevilla,3.0
soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Everygame,H2H,Draw,3.05
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Pinnacle,H2H,Espanyol,3.99
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Pinnacle,H2H,Rayo Vallecano,2.11
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Pinnacle,H2H,Draw,3.24
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (FR),H2H,Espanyol,3.7
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (FR),H2H,Rayo Vallecano,2.05
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (FR),H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,1xBet,H2H,Espanyol,4.04
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,1xBet,H2H,Rayo Vallecano,2.16
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,1xBet,H2H,Draw,3.27
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Codere (IT),H2H,Espanyol,3.7
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Codere (IT),H2H,Rayo Vallecano,2.12
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Codere (IT),H2H,Draw,3.25
