league,match_date_utc,home_team_fixture,away_team_fixture,status,match_key,sport_key,commence_time,home_team_odds,away_team_odds,bookmaker,market_type,selection_name,decimal_odds
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Coolbet,H2H,Levante,2.5
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Coolbet,H2H,Sevilla,3.15
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Coolbet,H2H,Draw,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Matchbook,H2H,Levante,2.56
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Matchbook,H2H,Sevilla,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Matchbook,H2H,Draw,3.3
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Everygame,H2H,Levante,2.4
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Everygame,H2H,Sevilla,3.0
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Everygame,H2H,Draw,3.05
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Pinnacle,H2H,Espanyol,3.99
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Pinnacle,H2H,Rayo Vallecano,2.11
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Pinnacle,H2H,Draw,3.24
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (FR),H2H,Espanyol,3.7
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (FR),H2H,Rayo Vallecano,2.05
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (FR),H2H,Draw,3.2
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,1xBet,H2H,Espanyol,4.04
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,1xBet,H2H,Rayo Vallecano,2.16
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,1xBet,H2H,Draw,3.27
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Codere (IT),H2H,Espanyol,3.7
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Codere (IT),H2H,Rayo Vallecano,2.12
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Codere (IT),H2H,Draw,3.25
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,William Hill,H2H,Espanyol,3.7
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,William Hill,H2H,Rayo Vallecano,2.1
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,William Hill,H2H,Draw,3.0
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (DE),H2H,Espanyol,3.75
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (DE),H2H,Rayo Vallecano,2.05
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (DE),H2H,Draw,3.3
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (FR),H2H,Espanyol,3.65
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (FR),H2H,Rayo Vallecano,2.0
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (FR),H2H,Draw,3.25
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Tipico,H2H,Espanyol,3.9
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Tipico,H2H,Rayo Vallecano,2.0
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Tipico,H2H,Draw,3.3
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Marathon Bet,H2H,Espanyol,3.98
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Marathon Bet,H2H,Rayo Vallecano,2.13
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Marathon Bet,H2H,Draw,3.22
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betclic (FR),H2H,Espanyol,3.7
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betclic (FR),H2H,Rayo Vallecano,2.08
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betclic (FR),H2H,Draw,3.25
